ID	Área o tema	Ítem a auditar	Criterio de cumplimiento	Evidencia o respaldo esperado	Frecuencia de revisión	Estado de cumplimiento	Observaciones	Fuente / sección del documento	Referencia normativa	Tipo de obligación	Responsable sugerido
CHK-001	Control documental	PMA Instalación de Faenas Río Ventisquero Rev. 1 aprobado y disponible	PMA Rev. 1 vigente, accesible en obra y coherente con aprobación IF	LOD Folio 47 (24/08/2026); PDF adjunto Folio 36: "14.- PMA Instalación de faenas Rev. 1.pdf"	Mensual		Verificar coincidencia de versión Rev. 1	LOD Folio 47 / Folio 36	No especificado en el documento	Compromiso documental derivado de LOD	Encargado ambiental
CHK-002	Control documental	Trazabilidad de entrega y aprobación del PMA en LOD	Comunicaciones Folio 36 (entrega) y Folio 47 (aprobación) registradas y archivadas	Copias LOD Serie 28560 Folio 36 y Serie 28559 Folio 47; referencia Folio 39 (Minuta observaciones)	Mensual		Folio 39 citado en aprobación; confirmar archivo en LOD	LOD Folio 47 / Folio 36	No especificado en el documento	Compromiso documental derivado de LOD	Administrador de obra
CHK-003	Control documental	Minuta N°1 — Respuesta a observaciones pendientes al PMA	Documento disponible, fechado y firmado (Agosto 2026)	Minuta N°1; elaboración Claudio Quijada C.; revisión Jorge Bernal Z.	Mensual		Documento origen: "16.- Minuta_Observaciones pendientes.pdf"	Minuta N°1 — Encabezado	No especificado en el documento	Antecedente documental del PMA	Encargado ambiental
CHK-004	Gestión sectorial	Pronunciamientos sectoriales requeridos (pendientes)	Gestión documentada mientras se obtienen pronunciamientos sectoriales	Registro de gestión/tramitación; actualización en Minuta o comunicaciones al IF	Mensual	Requiere revisión	Documento indica medidas transitorias "mientras se obtiene" resolución sanitaria	Minuta N°1 — Objetivo	No especificado en el documento	Compromiso declarado en Minuta	Encargado ambiental
CHK-005	Agua potable y alcantarillado	Resolución sanitaria — sistema de agua potable particular	Obtención y vigencia de resolución sanitaria de funcionamiento del sistema particular	Resolución sanitaria SEREMI Salud (No especificado en el documento)	Mensual	Requiere revisión	Observación N°1 pendiente; medidas transitorias implementadas mientras se obtiene	Minuta N°1 — Obs. N°1	D.S. N°594/2000 (marco general)	Observación pendiente al PMA	Encargado ambiental
CHK-006	Agua potable y alcantarillado	Resolución sanitaria — sistema de alcantarillado particular	Obtención y vigencia de resolución sanitaria de funcionamiento del sistema particular	Resolución sanitaria SEREMI Salud (No especificado en el documento)	Mensual	Requiere revisión	Observación N°1 pendiente; medidas transitorias implementadas mientras se obtiene	Minuta N°1 — Obs. N°1	D.S. N°594/2000 (marco general)	Observación pendiente al PMA	Encargado ambiental
CHK-007	Agua potable (medida transitoria)	Provisión de agua potable — envases 20 L en Oficina	Envases de 20 L habilitados y disponibles para consumo/uso higiénico	Inspección visual; registro de compra/reposición de agua purificada	Mensual		Requisito transitorio hasta resolución sanitaria AP	Minuta N°1 — Obs. N°1.a)	D.S. N°594/2000 arts. 12, 13 y 15	Medida transitoria declarada en Minuta	Encargado ambiental
CHK-008	Agua potable (medida transitoria)	Provisión de agua potable — envases 20 L en Laboratorio	Envases de 20 L habilitados y disponibles	Inspección visual; registro de compra/reposición	Mensual		Requisito transitorio hasta resolución sanitaria AP	Minuta N°1 — Obs. N°1.a)	D.S. N°594/2000 arts. 12, 13 y 15	Medida transitoria declarada en Minuta	Encargado ambiental
CHK-009	Agua potable (medida transitoria)	Provisión de agua potable — envases 20 L en Topografía	Envases de 20 L habilitados y disponibles	Inspección visual; registro de compra/reposición	Mensual		Requisito transitorio hasta resolución sanitaria AP	Minuta N°1 — Obs. N°1.a)	D.S. N°594/2000 arts. 12, 13 y 15	Medida transitoria declarada en Minuta	Encargado ambiental
CHK-010	Agua potable (medida transitoria)	Provisión de agua potable — envases 20 L en Sala de reuniones	Envases de 20 L habilitados y disponibles	Inspección visual; registro de compra/reposición	Mensual		Requisito transitorio hasta resolución sanitaria AP	Minuta N°1 — Obs. N°1.a)	D.S. N°594/2000 arts. 12, 13 y 15	Medida transitoria declarada en Minuta	Encargado ambiental
