ID	Área o tema	Ítem a auditar	Criterio de cumplimiento	Evidencia o respaldo esperado	Frecuencia de revisión	Estado de cumplimiento	Observaciones	Fuente / sección del documento	Referencia normativa	Etapa	Responsable sugerido
PMA-001	Control documental	Vigencia y disponibilidad del PMA Rev. 1	PMA Instalación de Faenas “Río Ventisquero” Rev. 1 vigente, accesible en obra y coherente con aprobación del mandante	Copia aprobada del PMA; registro de distribución interna; firma de aprobación del Inspector Fiscal	Mensual		Verificar coherencia entre versión en terreno y documento aprobado	Hoja de control de documento y registro de aprobación	No especificado en el PMA	Operación	Encargado ambiental
PMA-002	Control documental	Elaboración del PMA por profesional competente	PMA elaborado por Claudio Quijada C., Ingeniero Forestal, Asesor Ambiental APIA SpA	Firma de elaboración en hoja de control; currículum o designación del asesor ambiental	Al inicio de operación		—	Hoja de control de documento y registro de aprobación	No especificado en el PMA	Operación	Encargado ambiental
PMA-003	Control documental	Revisión técnica del PMA por Ingeniero Residente	PMA revisado por Jorge Bernal Z., Ingeniero Residente APIA SpA	Firma de revisión en hoja de control	Al inicio de operación		—	Hoja de control de documento y registro de aprobación	No especificado en el PMA	Operación	Ingeniero residente
PMA-004	Control documental	Aprobación del PMA por mandante (MOP)	PMA aprobado por Rodrigo Banda D., Inspector Fiscal de Vialidad MOP	Firma de aprobación mandante en hoja de control	Al inicio de operación		—	Hoja de control de documento y registro de aprobación	No especificado en el PMA	Operación	Inspector fiscal
PMA-005	Control documental	Identificación del contrato vial asociado al PMA	Obra y contrato SAFI N° 411074 debidamente identificados en el PMA	Hoja de control del PMA; contrato o referencia contractual	Al inicio de operación		—	Hoja de control de documento y registro de aprobación	No especificado en el PMA	Operación	Administrador de obra
PMA-006	Control documental	Aplicación del Manual de Carreteras Volumen 9 (MC-V9)	PMA elaborado conforme al acápite 9.702.301 del MC-V9	Referencia explícita en marco legal; coherencia del contenido con exigencias del acápite	Anual		Verificar actualización normativa del MC-V9 vigente al momento de auditoría	§1 Introducción — Marco legal y técnico	Manual de Carreteras Volumen 9, acápite 9.702.301	Operación	Encargado ambiental
PMA-007	Control documental	Aplicación de consideraciones ambientales MC-V5	PMA considera la sección 5.003 del Manual de Carreteras Volumen 5	Referencia en marco legal; coherencia con consideraciones ambientales generales	Anual		—	§1 Introducción — Marco legal y técnico	Manual de Carreteras Volumen 5, sección 5.003	Operación	Encargado ambiental
PMA-008	Control documental	Cumplimiento de Bases de Licitación (Gestión Ambiental)	PMA alineado con Especificaciones de Gestión Ambiental, Territorial y de Participación Ciudadana del punto 5.2 de las Bases de Licitación	Referencia en marco legal; matriz de cumplimiento con bases	Anual		Requiere revisión: bases de licitación no adjuntas al PMA	§1 Introducción — Marco legal y técnico	Bases de Licitación, punto 5.2	Operación	Encargado ambiental
PMA-009	Control documental	Cumplimiento de RCA N° 247/2012 y Adenda N° 1	Operación de la faena conforme a compromisos y condiciones de la RCA N° 247/2012 y su Adenda N° 1	RCA y Adenda disponibles; registro de cumplimiento de condicionantes aplicables a instalación de faenas	Trimestral		Requiere revisión: condicionantes específicos para faena no detallados en el PMA	§1 Introducción — Marco legal y técnico	RCA N° 247/2012; Adenda N° 1	Operación	Encargado ambiental
PMA-010	Control documental	Aplicación del D.S. N° 594/00 (condiciones sanitarias y ambientales)	Instalación cumple Condiciones Sanitarias y Ambientales Básicas en los Lugares de Trabajo	Referencia normativa en marco legal; inspección de condiciones sanitarias	Trimestral		—	§1 Introducción — Marco legal y técnico	D.S. N° 594/00, Ministerio de Salud	Operación	Encargado ambiental
PMA-011	Localización	Exclusión de emplazamiento al interior del Parque Nacional Queulat	Polígono de faena completamente fuera de los límites del Parque Nacional Queulat	Plano de ubicación con delimitación del parque; verificación cartográfica del polígono	Al inicio de operación		—	§2 Criterios de localización	RCA N° 247/2012	Operación	Encargado ambiental
PMA-012	Localización	Exclusión de sitios con flora y/o fauna en categoría de conservación	Faena no afecta sitios donde subsiste flora y/o fauna en categoría de conservación	Informe técnico de caracterización; registro fotográfico del terreno previamente degradado	Al inicio de operación		—	§2 Criterios de localización	No especificado en el PMA	Operación	Encargado ambiental
